127.0.0.1 - - [01/Feb/2018:10:17:30 +0900] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [01/Feb/2018:10:18:28 +0900] "GET /edu/jsexam/exam21.html HTTP/1.1" 200 541
0:0:0:0:0:0:0:1 - - [01/Feb/2018:10:18:43 +0900] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [01/Feb/2018:10:18:44 +0900] "GET /edu/jsexam/exam21.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2018:10:18:53 +0900] "GET /edu/jsexam/exam21.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2018:10:21:09 +0900] "GET /edu/jsexam/exam21.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2018:10:21:55 +0900] "GET /edu/jsexam/exam21.html HTTP/1.1" 200 600
0:0:0:0:0:0:0:1 - - [01/Feb/2018:10:21:56 +0900] "GET /edu/jsexam/exam21.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2018:10:21:59 +0900] "GET /edu/jsexam/exam21.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2018:10:22:12 +0900] "GET /edu/jsexam/exam21.html HTTP/1.1" 200 593
0:0:0:0:0:0:0:1 - - [01/Feb/2018:10:22:12 +0900] "GET /edu/jsexam/exam21.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2018:10:22:12 +0900] "GET /edu/jsexam/exam21.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2018:10:22:12 +0900] "GET /edu/jsexam/exam21.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2018:10:22:13 +0900] "GET /edu/jsexam/exam21.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2018:10:22:13 +0900] "GET /edu/jsexam/exam21.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2018:10:22:13 +0900] "GET /edu/jsexam/exam21.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2018:10:22:13 +0900] "GET /edu/jsexam/exam21.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2018:10:22:13 +0900] "GET /edu/jsexam/exam21.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2018:10:22:14 +0900] "GET /edu/jsexam/exam21.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2018:10:22:27 +0900] "GET /edu/jsexam/exam21.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2018:10:22:28 +0900] "GET /edu/jsexam/exam21.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2018:10:22:28 +0900] "GET /edu/jsexam/exam21.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2018:10:22:28 +0900] "GET /edu/jsexam/exam21.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2018:10:22:28 +0900] "GET /edu/jsexam/exam21.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2018:10:22:29 +0900] "GET /edu/jsexam/exam21.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2018:10:22:29 +0900] "GET /edu/jsexam/exam21.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2018:10:22:49 +0900] "GET /edu/jsexam/exam21.html HTTP/1.1" 200 645
0:0:0:0:0:0:0:1 - - [01/Feb/2018:10:22:49 +0900] "GET /edu/jsexam/exam21.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2018:10:22:49 +0900] "GET /edu/jsexam/exam21.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2018:10:22:50 +0900] "GET /edu/jsexam/exam21.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2018:10:22:50 +0900] "GET /edu/jsexam/exam21.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2018:10:22:59 +0900] "GET /edu/jsexam/exercise4.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2018:10:23:01 +0900] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [01/Feb/2018:10:23:04 +0900] "GET /edu/jsexam/exam21.html HTTP/1.1" 200 777
0:0:0:0:0:0:0:1 - - [01/Feb/2018:10:23:13 +0900] "GET /edu/jsexam/exam21.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2018:10:23:34 +0900] "GET /edu/jsexam/exam21.html HTTP/1.1" 200 782
0:0:0:0:0:0:0:1 - - [01/Feb/2018:10:24:15 +0900] "GET /edu/jsexam/exam21.html HTTP/1.1" 200 817
0:0:0:0:0:0:0:1 - - [01/Feb/2018:10:24:35 +0900] "GET /edu/jsexam/exam21.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2018:10:25:13 +0900] "GET /edu/jsexam/exam21.html HTTP/1.1" 200 810
0:0:0:0:0:0:0:1 - - [01/Feb/2018:10:26:26 +0900] "GET /edu/jsexam/exam21.html HTTP/1.1" 200 951
0:0:0:0:0:0:0:1 - - [01/Feb/2018:10:26:27 +0900] "GET /edu/jsexam/exam21.html HTTP/1.1" 304 -
